"Package","LibPath","Version","GithubRepo","GithubUsername","GithubRef","GithubSHA1"
"abind","/home/tmichele/projects/NWT/libraryNWT/4.1","1.4-5",NA,NA,NA,NA
"amc","/home/tmichele/projects/NWT/libraryNWT/4.1","0.2.1","amc","achubaty","development","15c5229951700f9a638fd186f176f0e793d76c10"
"animation","/home/tmichele/projects/NWT/libraryNWT/4.1","2.7",NA,NA,NA,NA
"ape","/home/tmichele/projects/NWT/libraryNWT/4.1","5.5",NA,NA,NA,NA
"askpass","/home/tmichele/projects/NWT/libraryNWT/4.1","1.1",NA,NA,NA,NA
"assertthat","/home/tmichele/projects/NWT/libraryNWT/4.1","0.2.1",NA,NA,NA,NA
"backports","/home/tmichele/projects/NWT/libraryNWT/4.1","1.3.0",NA,NA,NA,NA
"BAMMtools","/home/tmichele/projects/NWT/libraryNWT/4.1","2.1.8",NA,NA,NA,NA
"base64enc","/home/tmichele/projects/NWT/libraryNWT/4.1","0.1-3",NA,NA,NA,NA
"BH","/home/tmichele/projects/NWT/libraryNWT/4.1","1.75.0-0",NA,NA,NA,NA
"bit","/home/tmichele/projects/NWT/libraryNWT/4.1","4.0.4",NA,NA,NA,NA
"bit64","/home/tmichele/projects/NWT/libraryNWT/4.1","4.0.5",NA,NA,NA,NA
"bitops","/home/tmichele/projects/NWT/libraryNWT/4.1","1.0-7",NA,NA,NA,NA
"blob","/home/tmichele/projects/NWT/libraryNWT/4.1","1.2.2",NA,NA,NA,NA
"brew","/home/tmichele/projects/NWT/libraryNWT/4.1","1.0-6",NA,NA,NA,NA
"brio","/home/tmichele/projects/NWT/libraryNWT/4.1","1.1.2",NA,NA,NA,NA
"broom","/home/tmichele/projects/NWT/libraryNWT/4.1","0.7.10",NA,NA,NA,NA
"cachem","/home/tmichele/projects/NWT/libraryNWT/4.1","1.0.6",NA,NA,NA,NA
"callr","/home/tmichele/projects/NWT/libraryNWT/4.1","3.7.0",NA,NA,NA,NA
"car","/home/tmichele/projects/NWT/libraryNWT/4.1","3.0-12",NA,NA,NA,NA
"carData","/home/tmichele/projects/NWT/libraryNWT/4.1","3.0-4",NA,NA,NA,NA
"caret","/home/tmichele/projects/NWT/libraryNWT/4.1","6.0-90",NA,NA,NA,NA
"caTools","/home/tmichele/projects/NWT/libraryNWT/4.1","1.18.2",NA,NA,NA,NA
"checkmate","/home/tmichele/projects/NWT/libraryNWT/4.1","2.0.0",NA,NA,NA,NA
"CircStats","/home/tmichele/projects/NWT/libraryNWT/4.1","0.2-6",NA,NA,NA,NA
"classInt","/home/tmichele/projects/NWT/libraryNWT/4.1","0.4-3",NA,NA,NA,NA
"cli","/home/tmichele/projects/NWT/libraryNWT/4.1","3.1.0",NA,NA,NA,NA
"clipr","/home/tmichele/projects/NWT/libraryNWT/4.1","0.7.1",NA,NA,NA,NA
"colorspace","/home/tmichele/projects/NWT/libraryNWT/4.1","2.0-2",NA,NA,NA,NA
"commonmark","/home/tmichele/projects/NWT/libraryNWT/4.1","1.7",NA,NA,NA,NA
"conquer","/home/tmichele/projects/NWT/libraryNWT/4.1","1.2.1",NA,NA,NA,NA
"corrplot","/home/tmichele/projects/NWT/libraryNWT/4.1","0.92",NA,NA,NA,NA
"cowplot","/home/tmichele/projects/NWT/libraryNWT/4.1","1.1.1",NA,NA,NA,NA
"cpp11","/home/tmichele/projects/NWT/libraryNWT/4.1","0.4.1",NA,NA,NA,NA
"crayon","/home/tmichele/projects/NWT/libraryNWT/4.1","1.4.2",NA,NA,NA,NA
"credentials","/home/tmichele/projects/NWT/libraryNWT/4.1","1.3.1",NA,NA,NA,NA
"curl","/home/tmichele/projects/NWT/libraryNWT/4.1","4.3.2",NA,NA,NA,NA
"cyclocomp","/home/tmichele/projects/NWT/libraryNWT/4.1","1.1.0",NA,NA,NA,NA
"data.table","/home/tmichele/projects/NWT/libraryNWT/4.1","1.14.2",NA,NA,NA,NA
"DBI","/home/tmichele/projects/NWT/libraryNWT/4.1","1.1.1",NA,NA,NA,NA
"DEoptim","/home/tmichele/projects/NWT/libraryNWT/4.1","2.2-6",NA,NA,NA,NA
"desc","/home/tmichele/projects/NWT/libraryNWT/4.1","1.4.0",NA,NA,NA,NA
"devtools","/home/tmichele/projects/NWT/libraryNWT/4.1","2.4.2",NA,NA,NA,NA
"diffobj","/home/tmichele/projects/NWT/libraryNWT/4.1","0.3.5",NA,NA,NA,NA
"digest","/home/tmichele/projects/NWT/libraryNWT/4.1","0.6.28",NA,NA,NA,NA
"dismo","/home/tmichele/projects/NWT/libraryNWT/4.1","1.3-5",NA,NA,NA,NA
"doParallel","/home/tmichele/projects/NWT/libraryNWT/4.1","1.0.16",NA,NA,NA,NA
"dplyr","/home/tmichele/projects/NWT/libraryNWT/4.1","1.0.7",NA,NA,NA,NA
"e1071","/home/tmichele/projects/NWT/libraryNWT/4.1","1.7-9",NA,NA,NA,NA
"effsize","/home/tmichele/projects/NWT/libraryNWT/4.1","0.8.1",NA,NA,NA,NA
"ellipsis","/home/tmichele/projects/NWT/libraryNWT/4.1","0.3.2",NA,NA,NA,NA
"EnvStats","/home/tmichele/projects/NWT/libraryNWT/4.1","2.4.0",NA,NA,NA,NA
"evaluate","/home/tmichele/projects/NWT/libraryNWT/4.1","0.14",NA,NA,NA,NA
"exactextractr","/home/tmichele/projects/NWT/libraryNWT/4.1","0.7.1",NA,NA,NA,NA
"fansi","/home/tmichele/projects/NWT/libraryNWT/4.1","0.5.0",NA,NA,NA,NA
"farver","/home/tmichele/projects/NWT/libraryNWT/4.1","2.1.0",NA,NA,NA,NA
"fastdigest","/home/tmichele/projects/NWT/libraryNWT/4.1","0.6-3",NA,NA,NA,NA
"fasterize","/home/tmichele/projects/NWT/libraryNWT/4.1","1.0.3",NA,NA,NA,NA
"fastmap","/home/tmichele/projects/NWT/libraryNWT/4.1","1.1.0",NA,NA,NA,NA
"fastmatch","/home/tmichele/projects/NWT/libraryNWT/4.1","1.1-3",NA,NA,NA,NA
